2025-06-22 21:57:45,000 - /Users/arinagoncharova/Documents/diploma/AnoFusion/utils/main.py[line:234] - INFO: ('epoch:', '0', 'loss:', '0.000617932921972523')
2025-12-08 07:35:16,692 - /Users/arinagoncharova/Documents/diploma/AnoFusion/utils/main.py[line:275] - INFO: ('epoch:', '0', 'loss:', '0.0013923772771186')
2025-12-09 21:58:11,355 - /Users/arinagoncharova/Documents/diploma/AnoFusion/utils/main.py[line:304] - INFO: ('epoch:', '0', 'loss:', '0.0027948423512530606')
2025-12-09 22:35:59,595 - /Users/arinagoncharova/Documents/diploma/AnoFusion/utils/main.py[line:304] - INFO: ('epoch:', '0', 'loss:', '0.05952345678621832')
2025-12-15 03:51:30,099 - /Users/arinagoncharova/Documents/diploma/AnoFusion/utils/main.py[line:301] - INFO: ('epoch:', '0', 'loss:', '0.048371916525157994')
2025-12-16 15:31:34,700 - /Users/arinagoncharova/Documents/diploma/AnoFusion/utils/main.py[line:301] - INFO: ('epoch:', '0', 'loss:', '0.00795369184357897')
2025-12-30 20:38:16,848 - /workdir/AnoFusion/utils/main.py[line:310] - INFO: ('epoch:', '0', 'loss:', 'nan')
2026-01-02 22:32:07,725 - /workdir/AnoFusion/utils/main.py[line:330] - INFO: ('epoch:', '0', 'loss:', '0.007448374136103336')
2026-01-03 01:38:52,124 - /workdir/AnoFusion/utils/main.py[line:330] - INFO: ('epoch:', '0', 'loss:', '0.005795513974870673')
2026-01-03 01:59:59,696 - /workdir/AnoFusion/utils/main.py[line:330] - INFO: ('epoch:', '1', 'loss:', '0.0016919243284684242')
2026-01-03 02:21:08,410 - /workdir/AnoFusion/utils/main.py[line:330] - INFO: ('epoch:', '2', 'loss:', '0.0014807264164332142')
2026-01-03 02:42:19,422 - /workdir/AnoFusion/utils/main.py[line:330] - INFO: ('epoch:', '3', 'loss:', '0.0013803031424777722')
2026-01-03 03:03:35,407 - /workdir/AnoFusion/utils/main.py[line:330] - INFO: ('epoch:', '4', 'loss:', '0.0013273046213121299')
2026-01-03 03:24:47,568 - /workdir/AnoFusion/utils/main.py[line:330] - INFO: ('epoch:', '5', 'loss:', '0.0012935830980626514')
2026-01-03 03:45:59,895 - /workdir/AnoFusion/utils/main.py[line:330] - INFO: ('epoch:', '6', 'loss:', '0.0012675152927337774')
2026-01-03 04:07:00,380 - /workdir/AnoFusion/utils/main.py[line:330] - INFO: ('epoch:', '7', 'loss:', '0.0012455980450448542')
2026-01-03 04:27:58,815 - /workdir/AnoFusion/utils/main.py[line:330] - INFO: ('epoch:', '8', 'loss:', '0.0012321573780147352')
2026-01-03 04:48:55,835 - /workdir/AnoFusion/utils/main.py[line:330] - INFO: ('epoch:', '9', 'loss:', '0.0012226564091884936')
2026-01-21 04:56:20,705 - /workdir/AnoFusion/utils/main.py[line:340] - INFO: ('epoch:', '0', 'loss:', '0.008655987720080518')
2026-01-21 13:00:37,840 - /workdir/AnoFusion/utils/main.py[line:340] - INFO: ('epoch:', '0', 'loss:', '0.007241664042168648')
2026-01-21 13:24:45,640 - /workdir/AnoFusion/utils/main.py[line:340] - INFO: ('epoch:', '1', 'loss:', '0.0018439114846265858')
2026-01-21 13:48:12,967 - /workdir/AnoFusion/utils/main.py[line:340] - INFO: ('epoch:', '2', 'loss:', '0.001549721928646935')
